"","imputed_IND","imputed_OCC"
"748","142","364"
"749","641","19"
"750","842","748"
"751","60","558"
"752","711","303"
"753","922","5"
"754","762","19"
"755","312","315"
"756","832","95"
"757","312","637"
"758","320","95"
"759","320","633"
"760","410","804"
"761","770","468"
"762","342","779"
"763","342","313"
"764","161","756"
"765","161","796"
"766","741","426"
"767","770","468"
"768","211","777"
"769","812","84"
"770","120","796"
"771","11","473"
"772","60","558"
"773","211","779"
"774","211","769"
"775","642","877"
"776","632","805"
"777","700","19"
"778","620","243"
"779","840","159"
"780","840","167"
"781","342","683"
"782","132","749"
"783","132","888"
"784","611","243"
"785","832","447"
"786","842","157"
"787","280","777"
"788","331","785"
"789","362","634"
"790","212","785"
"791","212","518"
"792","172","737"
"793","101","806"
"794","221","745"
"795","262","889"
"796","601","243"
"797","60","217"
"798","842","155"
"799","10","479"
"800","831","95"
"801","802","459"
"802","342","779"
"803","641","436"
"804","550","804"
"805","712","254"
"806","742","785"
"807","362","217"
"808","772","458"
"809","831","95"
"810","641","19"
"811","562","259"
"812","552","806"
"813","842","156"
"814","711","23"
"815","231","727"
"816","231","727"
"817","362","183"
"818","641","19"
"819","641","438"
"820","400","575"
"821","850","114"
"822","761","406"
"823","842","157"
"824","441","348"
"825","850","199"
"826","850","199"
"827","850","126"
"828","921","23"
"829","60","558"
"830","441","348"
"831","470","337"
"832","612","243"
"833","711","335"
"834","172","633"
"835","770","468"
"836","761","406"
"837","880","313"
"838","842","157"
"839","612","243"
"840","612","13"
"841","441","529"
"842","591","365"
"843","341","26"
"844","741","426"
"845","211","785"
"846","211","796"
"847","342","796"
"848","742","19"
"849","702","337"
"850","842","453"
"851","211","777"
"852","460","19"
"853","840","95"
"854","711","375"
"855","910","417"
"856","882","313"
"857","550","804"
"858","60","575"
"859","212","796"
"860","331","637"
"861","211","777"
"862","331","547"
"863","200","766"
"864","190","259"
"865","842","157"
"866","842","156"
"867","60","553"
"868","221","877"
"869","410","804"
"870","60","783"
"871","641","435"
"872","712","16"
"873","60","599"
"874","341","683"
"875","342","779"
"876","60","599"
"877","60","585"
"878","842","453"
"879","601","276"
"880","300","706"
"881","321","19"
"882","840","19"
"883","842","157"
"884","641","438"
"885","711","19"
"886","842","95"
"887","881","197"
"888","840","167"
"889","220","889"
"890","832","95"
"891","60","599"
"892","641","435"
"893","331","637"
"894","511","313"
"895","60","567"
"896","831","348"
"897","841","178"
"898","841","313"
"899","841","178"
"900","470","696"
"901","881","19"
"902","231","733"
"903","500","804"
"904","60","566"
"905","211","769"
"906","751","505"
"907","871","436"
"908","160","856"
"909","460","276"
"910","231","727"
"911","160","777"
"912","601","276"
"913","881","434"
"914","172","213"
"915","432","19"
"916","10","477"
"917","601","243"
"918","712","254"
"919","831","174"
"920","331","709"
"921","331","703"
"922","60","595"
"923","711","253"
"924","172","804"
"925","871","174"
"926","711","389"
"927","342","518"
"928","221","796"
"929","331","633"
"930","700","19"
"931","660","274"
"932","331","363"
"933","772","458"
"934","831","444"
"935","331","637"
"936","441","27"
"937","771","19"
"938","771","337"
"939","762","456"
"940","771","275"
"941","601","243"
"942","601","877"
"943","751","505"
"944","842","157"
"945","601","243"
"946","772","458"
"947","391","777"
"948","212","57"
"949","682","243"
"950","682","274"
"951","880","176"
"952","842","157"
"953","842","156"
"954","440","198"
"955","641","436"
"956","842","14"
"957","221","745"
"958","342","777"
"959","842","157"
"960","322","217"
"961","812","207"
"962","842","157"
"963","791","469"
"964","342","57"
"965","551","804"
"966","641","436"
"967","60","865"
"968","60","865"
"969","842","453"
"970","712","254"
"971","641","435"
"972","740","809"
"973","641","449"
"974","831","443"
"975","591","264"
"976","842","453"
"977","832","426"
"978","832","207"
"979","322","64"
"980","791","379"
"981","761","406"
"982","710","255"
"983","10","479"
"984","841","453"
"985","840","203"
"986","60","558"
"987","632","337"
"988","222","777"
"989","412","355"
"990","841","178"
"991","831","95"
"992","641","453"
"993","410","804"
"994","601","877"
"995","641","435"
"996","352","777"
"997","342","796"
"998","641","435"
"999","641","436"
"1000","682","274"
"1001","842","453"
"1002","831","207"
"1003","390","777"
"1004","221","796"
"1005","502","804"
"1006","342","796"
"1007","242","633"
"1008","331","59"
"1009","841","313"
"1010","850","229"
"1011","320","213"
