"","ind_70_final","ind_80","occ_70_final","occ_80"
"116401",927,870,141,159
"119914",848,830,93,167
"54860",468,462,3,229
"37033",317,142,671,739
"82038",707,700,1,23
"100222",838,831,901,449
"42921",339,172,281,257
"62693",609,591,231,243
"32750",259,390,694,779
"20588",177,310,610,633
"14560",109,241,753,883
"107160",857,842,32,164
"119102",207,341,245,9
"100816",838,831,162,216
"27186",209,350,12,55
"67474",669,641,310,276
"18557",157,281,372,313
"114035",858,850,235,14
"114554",858,850,115,135
"61435",607,580,284,268
"65885",628,601,245,19
"42859",339,172,645,774
"23559",197,331,152,217
"31184",237,370,662,727
"27800",219,351,561,634
"64549",617,592,283,274
"96677",787,772,944,458
"102992",838,831,305,337
"43003",339,172,643,888
"123439",917,932,395,379
"38919",319,151,663,744
"53516",448,441,385,348
"106643",857,842,143,155
"119321",889,890,1,23
"19790",168,300,680,783
"122152",917,932,391,315
"44686",367,191,441,633
"75778",669,641,230,19
"101565",838,831,86,176
"61788",608,581,305,337
"53961",449,442,384,349
"54117",467,460,433,577
"93265",769,761,984,407
"110482",857,842,903,453
"120362",907,412,331,355
"62294",609,591,345,385
"73008",657,630,283,274
"95935",779,771,630,873
"54732",468,462,492,539
"120851",907,412,224,17
"39750",319,151,551,873
"115976",858,850,140,154
"70076",639,612,473,689
"122625",917,901,3,229
"121519",917,932,56,27
"82453",708,702,55,65
"71789",648,621,623,885
"113756",858,850,140,154
"99959",838,831,922,446
"123434",917,932,395,379
"55342",477,470,522,547
"108854",857,842,142,156
"93034",769,761,755,486
"104245",838,831,916,439
"13781",107,230,761,496
"39109",319,151,663,744
"29865",227,352,391,315
"94489",777,762,901,449
"118975",888,882,152,217
"19034",158,282,312,303
"108515",857,842,142,156
"77524",669,641,912,436
"58263",537,521,381,365
"66496",628,601,631,686
"46463",388,220,225,33
"23847",197,331,690,777
"5648",67,60,415,567
"20883",379,211,612,769
"89718",748,742,210,25
"79774",687,660,453,535
"20869",178,311,650,708
"68864",637,610,283,274
"73388",667,632,305,337
"48515",408,401,703,808
"115027",858,850,901,449
"93948",777,762,903,453
