Index,IND.1971.1982,IND.1983.1991,IND.1992.2002,IND.2003.2008,IND.2009.2013,IND.2014.2019,IND.2020.
264,167,291,291,2870,2870,2870,2870
265,108,231,231,2870,2870,2870,2870
266,158,282,282,2870,2870,2870,2870
267,197,331,331,2870,2870,2870,2870
268,147,291,291,2870,2870,2870,2870
269,157,281,281,2870,2870,2870,2870
270,168,300,300,2870,2870,2870,2870
271,197,331,331,2880,2880,2880,2880
272,157,281,281,2880,2880,2880,2880
273,159,290,290,2880,2880,2880,2880
274,259,391,391,2890,2890,2890,2890
275,149,280,280,2890,2890,2890,2890
276,168,300,300,2890,2890,2890,2890
277,258,292,292,2970,2970,2970,2970
278,369,192,192,2970,2970,2970,2970
279,49,192,192,2970,2970,2970,2970
280,368,192,192,2970,2970,2970,2970
281,347,192,192,2970,2970,2970,2970
282,348,192,192,2970,2970,2970,2970
283,359,192,192,2970,2970,2970,2970
284,167,291,291,2980,2980,2980,2980
285,227,352,352,2980,2980,2980,2980
286,139,270,270,2980,2980,2980,2980
287,917,291,291,2980,2980,2980,2980
288,208,371,371,2980,2980,2980,2980
289,157,281,281,2980,2980,2980,2980
290,147,291,291,2980,2980,2980,2980
291,147,270,270,2980,2980,2980,2980
292,197,331,331,2980,2980,2980,2980
293,259,391,391,2980,2980,2980,2980
294,179,312,312,2980,2980,2980,2980
295,258,341,371,2980,2980,2980,2980
296,207,341,371,2980,2980,2980,2980
297,158,282,282,2980,2980,2980,2980
298,239,371,371,2980,2980,2980,2980
299,168,300,300,2980,2980,2980,2980
300,169,301,301,2990,2990,2990,2990
301,197,331,331,3070,3070,3070,3070
302,178,311,311,3070,3070,3070,3070
303,238,311,311,3070,3070,3070,3070
304,179,312,312,3080,3080,3080,3080
305,167,291,291,3090,3090,3095,3095
306,248,380,380,3090,3090,3095,3095
307,259,391,391,3090,3090,3095,3095
308,147,291,291,3090,3090,3095,3095
309,258,292,292,3090,3090,3095,3095
310,208,342,342,3090,3090,3095,3095
311,189,322,322,3090,3090,3095,3095
312,207,341,341,3090,3090,3095,3095
313,247,372,372,3090,3090,3095,3095
314,188,321,321,3090,3090,3095,3095
315,258,341,341,3090,3090,3095,3095
316,917,291,291,3090,3090,3095,3095
317,197,331,331,3090,3090,3095,3095
318,187,320,320,3170,3170,3170,3170
319,157,281,281,3170,3170,3170,3170
320,197,331,331,3180,3180,3180,3180
321,219,351,351,3180,3180,3180,3180
322,177,310,310,3180,3180,3180,3180
323,188,321,321,3190,3190,3190,3291
324,258,341,341,3190,3190,3190,3291
325,178,311,311,3190,3190,3190,3291
326,197,331,331,3190,3190,3190,3291
327,168,300,300,3190,3190,3190,3291
328,207,341,341,3190,3190,3190,3291
329,229,361,361,3190,3190,3190,3291
330,187,320,320,3190,3190,3190,3291
331,238,311,311,3190,3190,3190,3291
332,199,340,340,3190,3190,3190,3291
333,179,312,312,3190,3190,3190,3291
334,198,332,332,3290,3290,3290,3291
335,189,322,322,3360,3360,3365,3365
336,207,341,341,3370,3370,3370,3370
337,189,322,322,3370,3370,3370,3370
338,258,341,341,3370,3370,3370,3370
339,208,371,371,3380,3380,3380,3380
340,207,341,371,3380,3380,3380,3380
341,249,381,381,3380,3380,3380,3380
342,188,321,321,3380,3380,3380,3380
343,247,372,372,3380,3380,3380,3380
344,258,341,371,3380,3380,3380,3380
345,259,391,391,3380,3380,3380,3380
346,208,342,342,3380,3380,3380,3380
347,239,371,371,3380,3380,3380,3380
348,259,391,391,3390,3390,3390,3390
349,889,740,732,3390,3390,3390,3390
350,807,800,800,3390,3390,3390,3390
351,189,322,322,3390,3390,3390,3390
352,207,341,341,3390,3390,3390,3390
353,209,350,350,3390,3390,3390,3390
354,739,740,732,3390,3390,3390,3390
355,258,341,341,3390,3390,3390,3390
356,208,342,342,3390,3390,3390,3390
357,199,340,340,3470,3470,3470,3470
358,259,391,391,3470,3470,3470,3470
359,209,350,350,3490,3490,3490,3490
360,759,752,752,3490,3490,3490,3490
361,247,372,372,3490,3490,3490,3490
362,149,280,280,3490,3490,3490,3490
363,208,342,342,3490,3490,3490,3490
364,758,752,752,3490,3490,3490,3490
365,259,391,391,3490,3490,3490,3490
366,138,262,262,3570,3570,3570,3570
367,187,320,320,3570,3570,3570,3570
368,237,370,370,3570,3570,3570,3570
369,197,331,331,3570,3570,3570,3570
370,118,242,242,3570,3570,3570,3570
371,917,291,291,3570,3570,3570,3570
372,177,310,310,3570,3570,3570,3570
373,208,342,342,3570,3570,3570,3570
374,379,211,211,3570,3570,3570,3570
375,219,351,351,3570,3570,3570,3570
376,167,291,291,3570,3570,3570,3570
377,327,152,152,3570,3570,3570,3570
378,387,211,211,3570,3570,3570,3570
379,157,281,281,3570,3570,3570,3570
380,147,291,291,3570,3570,3570,3570
381,258,370,370,3570,3570,3570,3570
382,238,370,370,3570,3570,3570,3570
383,359,192,192,3580,3580,3580,3580
384,348,192,192,3580,3580,3580,3580
385,369,192,192,3580,3580,3580,3580
386,239,371,371,3580,3580,3580,3580
387,207,341,371,3580,3580,3580,3580
388,49,192,192,3580,3580,3580,3580
389,208,371,371,3580,3580,3580,3580
390,347,192,192,3580,3580,3580,3580
391,427,421,421,3580,3580,3580,3580
392,368,192,192,3580,3580,3580,3580
393,258,341,371,3580,3580,3580,3580
394,227,352,352,3580,3580,3580,3580
395,258,362,362,3590,3590,3590,3590
396,227,362,362,3590,3590,3590,3590
397,229,361,361,3670,3670,3670,3670
398,238,370,370,3680,3680,3680,3680
399,237,370,370,3680,3680,3680,3680
400,258,370,370,3680,3680,3680,3680
401,228,360,360,3680,3680,3680,3680
402,258,370,370,3690,3690,3690,3690
403,259,390,390,3690,3690,3690,3690
404,219,351,351,3690,3690,3690,3690
405,238,370,370,3690,3690,3690,3690
406,237,370,370,3690,3690,3690,3690
407,108,231,231,3770,3770,3770,3770
408,107,230,230,3770,3770,3770,3770
409,109,241,241,3770,3770,3770,3770
410,109,241,241,3780,3780,3780,3780
411,108,231,231,3780,3780,3780,3780
412,108,232,232,3790,3790,3790,3790
413,237,232,232,3790,3790,3790,3790
414,259,391,391,3870,3870,3875,3875
415,108,231,231,3870,3870,3875,3875
416,328,160,160,3870,3870,3875,3875
417,109,241,241,3870,3870,3875,3875
418,109,241,241,3890,3890,3895,3895
419,259,390,390,3890,3890,3895,3895
420,387,212,212,3890,3890,3895,3895
421,627,632,631,3890,3890,3895,3895
422,348,212,212,3890,3890,3895,3895
423,108,231,231,3890,3890,3895,3895
424,118,242,242,3890,3890,3895,3895
425,259,391,391,3890,3890,3895,3895
426,667,632,631,3890,3890,3895,3895
427,848,840,840,3960,3960,3960,3960
428,258,341,371,3960,3960,3960,3960
429,207,341,371,3960,3960,3960,3960
430,247,372,372,3960,3960,3960,3960
431,387,211,211,3960,3960,3960,3960
432,239,371,371,3960,3960,3960,3960
433,838,840,840,3960,3960,3960,3960
434,379,211,211,3960,3960,3960,3960
435,118,242,242,3960,3960,3960,3960
436,208,371,371,3960,3960,3960,3960
437,259,391,391,3960,3960,3960,3960
438,259,390,390,3970,3970,3970,3970
439,259,391,391,3970,3970,3970,3970
440,687,660,660,3980,3980,3980,3980
441,398,392,392,3980,3980,3980,3980
442,397,222,222,3980,3980,3980,3980
443,167,291,291,3980,3980,3980,3980
444,147,291,291,3980,3980,3980,3980
445,259,391,391,3980,3980,3980,3980
446,197,331,331,3980,3980,3980,3980
447,188,321,321,3980,3980,3980,3980
448,118,242,242,3980,3980,3980,3980
449,387,211,211,3980,3980,3980,3980
450,109,241,241,3980,3980,3980,3980
451,168,300,300,3980,3980,3980,3980
452,917,291,291,3980,3980,3980,3980
453,199,340,340,3980,3980,3980,3980
454,379,211,211,3980,3980,3980,3980
455,327,152,152,3980,3980,3980,3980
456,398,392,392,3990,3990,3990,3990
457,507,500,500,4070,4070,4070,4070
458,587,501,501,4080,4080,4080,4080
459,607,580,580,4090,4090,4090,4090
460,569,502,502,4090,4090,4090,4090
461,557,502,502,4090,4090,4090,4090
462,587,510,510,4170,4170,4170,4170
463,539,530,510,4170,4170,4170,4170
464,607,512,512,4170,4170,4170,4170
465,697,530,510,4170,4170,4170,4170
466,508,541,541,4170,4170,4170,4170
467,529,530,510,4170,4170,4170,4170
468,529,512,512,4170,4170,4170,4170
469,608,530,510,4170,4170,4170,4170
470,557,511,511,4180,4180,4180,4180
471,529,512,512,4190,4190,4195,4195
472,607,512,512,4190,4190,4195,4195
473,607,521,521,4260,4260,4265,4265
474,529,530,530,4260,4260,4265,4265
475,537,521,521,4260,4260,4265,4265
476,697,530,530,4260,4260,4265,4265
477,539,530,530,4260,4260,4265,4265
478,608,530,530,4260,4260,4265,4265
479,697,530,530,4270,4270,4270,4270
480,529,530,530,4270,4270,4270,4270
481,539,530,530,4270,4270,4270,4270
482,557,511,511,4270,4270,4270,4270
483,608,530,530,4270,4270,4270,4270
484,559,531,531,4280,4280,4280,4280
485,508,562,562,4290,4290,4290,4290
486,587,510,532,4290,4290,4290,4290
487,697,651,651,4290,4290,4290,4290
488,587,532,532,4290,4290,4290,4290
489,587,562,562,4290,4290,4290,4290
490,588,571,571,4290,4290,4290,4290
491,697,530,510,4290,4290,4290,4290
492,539,530,510,4290,4290,4290,4290
493,539,532,532,4290,4290,4290,4290
494,529,530,510,4290,4290,4290,4290
495,587,510,510,4290,4290,4290,4290
496,608,530,510,4290,4290,4290,4290
497,568,540,540,4370,4370,4370,4370
498,508,541,541,4380,4380,4380,4380
499,679,561,561,4380,4380,4380,4380
500,587,561,561,4380,4380,4380,4380
501,509,542,542,4390,4390,4390,4390
502,587,550,550,4470,4470,4470,4470
503,527,550,550,4470,4470,4470,4470
504,527,550,550,4480,4480,4480,4480
505,587,550,550,4480,4480,4480,4480
506,528,551,551,4480,4480,4480,4480
507,587,551,551,4480,4480,4480,4480
508,18,551,551,4480,4480,4480,4480
509,679,551,551,4480,4480,4480,4480
510,558,552,552,4490,4490,4490,4490
511,697,552,552,4490,4490,4490,4490
512,567,560,560,4560,4560,4560,4560
513,679,551,551,4570,4570,4570,4570
514,587,551,551,4570,4570,4570,4570
515,679,561,561,4570,4570,4570,4570
516,528,551,551,4570,4570,4570,4570
517,587,561,561,4570,4570,4570,4570
518,18,551,551,4570,4570,4570,4570
519,587,562,562,4580,4580,4580,4580
520,508,562,562,4580,4580,4580,4580
